Place ID,Name,Latitude,Longitude,Rating,Number of Reviews,Price Level,Address
ChIJ2fWyft1VVTcRq-QNa_pzsx4,Al kayed mini chinese and resturent,22.62713,90.06330890000001,4.2,10,,"Baily Bridge, Kawkhali, Bangladesh"
ChIJPX6x-n1VVTcR0d1ozd5Rigs,মৃত্তিকা ফুড পার্ক,22.6258092,90.07000509999999,3,8,,"eko park, Kawkhali, Bangladesh"
ChIJQ7sIqij9_zkRSkvhhE8AEZk,Friend Coffee Zone,22.7867163,89.98134450000001,0,,,"QXPJ+MGQ, Malikhali Union, Bangladesh"
ChIJOXSH65P9_zkRwa8cmONLl0U,অমৃত মৃষ্টান্ন ভান্ডার,22.7867163,89.98134450000001,0,,,"QXPJ+MGQ, Malikhali Union, Bangladesh"
ChIJ84dwtWb9_zkRQvgbrrra8ms,সুমাইয়া স্টোর,22.7854275,89.9744802,3,1.0,,"QXPF+5QH, ঘোলারহাট, Bangladesh"
ChIJ20CsAD5RVTcRW-MtyoyPQBQ,মেসার্স শফিক খান ফটোস্ট্যাট,22.7449448,90.11681870000001,0,,,"P4V8+XPP, Swarupkathi, Bangladesh"
ChIJl8SvB91RVTcR6tTaFIuslOs,Akalam fakir Bari road,22.7497532,90.1102234,5,5.0,,"P4X6+W35, Unnamed Road, Swarupkathi, Bangladesh"
ChIJc0c2mM5RVTcRmaMktnCLhVs,Mainly tee Stoll,22.7449448,90.11681879999999,0,,,"P4V8+XPP, Swarupkathi, Bangladesh"
ChIJH3AVES9RVTcRPm43W8YhIlA,মেসার্স মা মটরস্,22.7449448,90.11681870000001,0,,,"P4V8+XPP, Swarupkathi, Bangladesh"
ChIJz-njQC1RVTcR2QnUs78ruxI,Jamai Tea Stall,22.7425919,90.1100046,4,2.0,,"Balibari,Jagannathkati, Swarupkathi, Bangladesh"
ChIJc-FnJadRVTcRpr5lKhhoTVY,Inayat Restaurants,22.745757,90.1139,4.2,25.0,,"P4W7+8H2, Swarupkathi - Barisal Rd, Swarupkathi, Bangladesh"
ChIJscWxNwhRVTcRc5bgkEQpABE,Islam market,22.7449448,90.11681879999999,0,,,"P4V8+XPP, Swarupkathi, Bangladesh"
ChIJ4SP3FZ8BADoRUlPrx8D-4Qg,Dilip sarban's house,22.5839528,89.97087789999999,5,2.0,,"pirijpur Bazar bus stand, HXMC+H9R, পিরোজপুর, Bangladesh"
ChIJT0MRH-kBADoRQYIkQm8f3CM,Rushni Fuska House,22.5799496,89.9695026,4.6,10.0,,"HXH9+XRC, Pirojpur Pourashava, Bangladesh"
ChIJdeJNR0QBADoRadhdZ-m76CI,Hajir Biryani,22.5812304,89.96873889999999,3,3.0,,"HXJ9+FF9, Pal para Rd, Pirojpur Pourashava, Bangladesh"
ChIJD0pM_bEBADoR9veaaUPQV5s,ঢাকা হাজীর বিরিয়ানী,22.5792476,89.96857,4,1.0,,"HXH9+PC8, Pirojpur Pourashava, Bangladesh"
ChIJlZjMCVoBADoRYMbGTc_kR_I,Sormi Fuska House,22.5804422,89.9688666,4.3,25.0,,"HXJ9+5GH, Pirojpur Pourashava, Bangladesh"
ChIJm7uvRzUBADoRcsbrX5qc8Qw,খাবার হোটেল,22.5819456,89.96777550000002,5,1.0,,"HXJ9+P42, Pirojpur Pourashava, Bangladesh"
ChIJMScmEWABADoRIeueIJRfphg,Street Food Pirojpur (স্ট্রিট ফুড পিরোজপুর),22.5789951,89.96864719999999,4.1,33.0,,"HXH9+HCX, Pirojpur Pourashava, Bangladesh"
ChIJSfHOUpABADoR_bZ5aCLD0M8,রাজ্জাক হোটেল,22.5798897,89.97162159999999,4.7,3.0,,"HXHC+XJ5, Pirojpur Pourashava, Bangladesh"
ChIJS0ew9lYBADoR37mfEFdnhWs,কাচা,22.5841051,89.9720133,2,1.0,,"HXMC+JRR, Pirojpur Pourashava, Bangladesh"
ChIJgc7uXh8BADoRa6k8b74QwCg,ঐশী মিষ্টান্ন ভান্ডার,22.5799046,89.96967459999999,5,3.0,,"HXH9+XV7, Pirojpur Pourashava, Bangladesh"
ChIJd2ExJGoBADoRxurePy5xihA,Maliha First Food And Confectionary,22.579269,89.9698327,4.1,7.0,,"HXH9+PW8, সদর রোড, Pirojpur Pourashava, Bangladesh"
ChIJCaG9BykBADoRZb3t_yTTvQE,মালেক,22.5790744,89.97592639999999,0,,,"HXHG+J9F, Pirojpur Pourashava, Bangladesh"
ChIJ5YUULwABADoRnQ9ePFmNzAc,চাইনিজ প্যালেস রেস্টুরেন্ট,22.5841051,89.9720133,0,,,"HXMC+JRR, Pirojpur Pourashava, Bangladesh"
ChIJDzabdHsBADoRDRrNWb7A9tg,Padda sweet shop [পদ্না মিষ্টান্ন ভান্ডার],22.5802414,89.96919939999999,4,6.0,,"Raw Market Road, পিরোজপুর 8500, Bangladesh"
ChIJkdicn2gBADoRZgU_lUomDDw,Hotel Rose Garden,22.5786802,89.9686117,3.7,140.0,1.0,"HXH9+FCG, Post Office Rd, Pirojpur Pourashava, Bangladesh"
ChIJIbrscGEBADoRbiagjWuADMQ,Md.Abdul Wadud Sarder,22.5790204,89.9710594,0,,,"HXHC+JF2, Pirojpur Pourashava, Bangladesh"
ChIJEyplIFEAADoRw_6MExFtfr8,Hotel Apyayon,22.5794838,89.96966639999999,3.4,38.0,1.0,"HXH9+QVV, Pirojpur Pourashava, Bangladesh"
ChIJT9evVs4BADoRVSdTYQZBm2w,Nirob Hotel And Restaurant,22.5799116,89.96885119999999,3.6,9.0,,"গোপাল কৃষ্ণ মার্কেট, Pirojpur Pourashava, Bangladesh"
ChIJSZHeDVEAADoR47aovE_SqFQ,Satota store,22.5804911,89.9688659,3.3,3.0,,"HXJ9+5GV, Pirojpur Pourashava, Bangladesh"
ChIJ-aiJJQcBADoRfZjfWcOJlIY,লতিফ হোটেল পিরোজপুর Latif Hotel Pirojpur,22.5801087,89.97129149999999,2.8,4.0,,"HXHC+XHR, Pirojpur Pourashava, Bangladesh"
ChIJs4gqz4MBADoRgWlkgKIgxD8,ক্যাফে আল মদিনা,22.5793623,89.9791649,3.6,147.0,,"Pirojpur Pourashava, Bangladesh"
ChIJCzTYKAABADoR4cQngTd4I60,chop er dokan(nodir dhar),22.5796097,89.9650989,0,,,"Nodir Par Rd, Pirojpur Pourashava, Bangladesh"
ChIJx6xD5F4BADoR1iZYpmWXpSk,KING KHAN HOTEL AND RESTURENT,22.5790744,89.97592639999999,0,,,"Pirojpur Pourashava, Bangladesh"
ChIJPZdFu78BADoRvnBz8GFnp04,Rezwan's Cafe,22.5800216,89.97187360000001,5,1.0,,"HXHC+XPX, Pirojpur Pourashava, Bangladesh"
ChIJp86_kSELADoRScVyhurEYd0,সোহেল রানা ক্যাটোল ফাস,22.293356,89.9623785,5,2.0,,"College Rd, Mathbaria, Bangladesh"
ChIJFYwq-zkLADoRf_tn0mu_rOQ,হাজী বিরিয়ানি হাউজ,22.2890527,89.95851139999999,4.5,2.0,,"7XQ5+JC6, Charkhali - Mathbaria – Patharghata Rd, Mathbaria, Bangladesh"
ChIJN7erVdYLADoRSoYrDMDvmEs,ত্বকি ফুড কোট,22.2899691,89.95801709999999,5,1.0,,"7XQ5+X6G, Mathbaria, Bangladesh"
ChIJT9yW8KcLADoRKHNDJVreg7U,ভাই ভাই হোটেল এন্ড বোডিং,22.2896636,89.95909109999999,5,1.0,,"7XQ5+RM3, Mathbaria, Bangladesh"
ChIJPYyqnw8LADoRycl3-GrLje0,নিউ মুসলিম সুইটস এণ্ড বেকারি,22.2887099,89.9584821,5,9.0,,"7XQ5+F9Q, Sadar Rd, Mathbaria, Bangladesh"
ChIJJwuMBKoLADoRcGUOid7tMUg,ক্যাফে আড্ডা মঠবাড়িয়া,22.288388,89.95815449999999,3.8,250.0,2.0,"7XQ5+973, Mathbaria, Bangladesh"
ChIJVc0IrlILADoRAERuBWMg6ck,Mega food & chinese,22.2872821,89.95842159999999,2.3,3.0,,"7XP5+W97, Mathbaria, Bangladesh"
ChIJXU_rTB8LADoRYdOJ2LC_Vo4,মেসার্স সততা হোটেল এন্ড রেস্টুরেন্ট,22.2867843,89.9581163,4,1.0,,"7XP5+P69, Mathbaria, Bangladesh"
ChIJKwt8cq0LADoR5Z4XMradafg,সোনাখালীর ঝালমুড়ি,22.287195,89.96065460000001,5,1.0,,"7XP6+V7C, Mathbaria, Bangladesh"
ChIJGZOaLwALADoRYCz_oqReiTE,Cafe Adda,22.2867406,89.95842809999999,5,1.0,,"K M Latif Institution, Mathbaria, Bangladesh"
ChIJxZmSQgYLADoRWqmWxRMUP48,মোঘোল ফ্যাশন হাউজ ওরফে রেস্তরা,22.2920201,89.9580472,0,,,"Mathbaria 8560, Bangladesh"
ChIJCUv8elwLADoRiUd5FdtbEXg,মেগা ফুড,22.2873804,89.9587622,4,6.0,,"Mathbaria, Bangladesh"
ChIJLZMJsdcLADoR78VpgSaIn40,মোঃরাছেল স্টোর,22.2920055,89.95805919999999,3,2.0,,"Mathbaria, Bangladesh"
ChIJfesbpHsLADoRqb7Ue9gigYE,kagojkolom.shop,22.2920185,89.9580376,0,,,"Mathbaria 8560, Bangladesh"
ChIJnztTt_8LADoRjBwyZCDRw10,SOLPO FOOD COURT,22.2862574,89.95730519999999,3.8,25.0,,"SFC, Mathbaria 8560, Bangladesh"
ChIJbyuiXo8LADoRMmqTOyNzSN4,Gazi Hotel And Restaurant,22.2875404,89.9598822,4.2,5.0,,"7XQ5+2W9, Mathbaria, Bangladesh"
ChIJb8HNcMILADoR_e_5vtA5Gbc,স্বাদের কাচ্চি ঘর,22.2877656,89.95884339999999,0,,,"7XQ5+4G4, Mathbaria, Bangladesh"
ChIJV5cvokgLADoRaAN5XIRK-zM,Star Kebab Plus,22.2914484,89.95922229999999,4,9.0,,"7XR5+HMM, Mathbaria, Bangladesh"
ChIJ8ZE0y4ULADoRucTSTkVj4-I,মোঘল,22.2868615,89.9581927,3.8,8.0,,"7XP5+P7W, Super Market Rd, Mathbaria, Bangladesh"
ChIJhfzJMgALADoRUyqhr693l1I,সাগর হোটেল,22.2950257,89.9537426,0,,,"7XV3+FV4, Mathbaria, Bangladesh"
ChIJ5VPf-60LADoR_YtlpU636pc,জান্নাতি কি স্টোর,22.2868179,89.95928049999999,0,,,"7XP5+PPM, Mathbaria, Bangladesh"
ChIJrYmF96kLADoRmV2az8t2cwE,Afzal Hotel,22.2867672,89.9579274,4.1,24.0,,"7XP5+P53, Mathbaria, Bangladesh"
ChIJc54E-roLADoRW2CmXU2vnNE,Ruposi Bangla hotel & Restaurant,22.2871852,89.9596025,5,1.0,,"1 Sabujnajar Rd, Mathbaria 8560, Bangladesh"
ChIJ0XbFpbULADoRWbPVbWqHf2E,আল-মদিনা হোটেল এন্ড চাইনিজ,22.2882898,89.9586772,0,,,"7XQ5+7CJ, Mathbaria, Bangladesh"
ChIJy-BJw8QLADoRij4gTsZ8b2w,স্বপন হোটেল (Swapan Hotel),22.2869003,89.95727909999999,0,,,"পুরাতন লোহা পট্টি, সমবায় ব্যাংক এর পিছনে, সদর রোড, মঠবাড়ীয়া 8560, Bangladesh"
ChIJp_9NMKgHADoRn59TmP4pHv0,মা রেষ্টুরেন্ট এন্ড ভেরাইটিজ,22.4816033,89.957385,4.8,4.0,,"FXJ5+G23, Zianagar, Bangladesh"
ChIJ_2Ne-5sHADoRpnhv7Nf8P7w,নাজমুল হোটেল এন্ড রেস্টুরেন্ট,22.4857641,89.9603461,1,1.0,,"FXP6+845 চুলকানি বাজার, Zianagar, Bangladesh"
ChIJjR06RUkHADoRIm6BE3_YWX0,হাজী আফসার উদ্দিন মার্কেট,22.4815957,89.96068509999999,2,1.0,,"FXJ6+J7X, Indurkani, Bangladesh"
